;Open;High;Low;Close;Date;Values
2023-01-12 19:21:23;7826,3;7826,3;7826,3;7826,3;;
2023-01-12 19:21:24;7826,3;7826,3;7826,3;7826,3;;
2023-01-12 19:21:30;7826,3;7826,3;7826,3;7826,3;;
2023-01-12 19:21:56;7826,3;7826,3;7826,3;7826,3;;
2023-01-12 19:22:02;7826,3;7826,3;7826,3;7826,3;;
2023-01-12 19:22:04;7826,3;7826,3;7826,3;7826,3;;
2023-01-12 19:22:05;7825,8;7825,8;7825,8;7825,8;;
2023-01-12 19:22:07;7825,8;7826,3;7825,8;7826,3;;
2023-01-12 19:22:08;7826,3;7826,3;7826,3;7826,3;;
2023-01-12 19:22:09;7826,0;7826,0;7825,3;7825,3;;
2023-01-12 19:22:13;7824,8;7825,3;7824,8;7825,3;;
2023-01-12 19:22:19;7825,7;7825,7;7825,7;7825,7;;
2023-01-12 19:22:20;7826,3;7826,3;7826,3;7826,3;;
2023-01-12 19:22:36;7826,3;7826,3;7825,3;7825,3;;
2023-01-12 19:22:39;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:22:40;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:22:41;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:22:42;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:22:43;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:22:45;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:22:46;7825,3;7825,3;7824,3;7824,3;;
2023-01-12 19:22:48;7824,3;7824,3;7824,3;7824,3;;
2023-01-12 19:22:49;7824,3;7824,3;7824,2;7824,2;;
2023-01-12 19:22:53;7824,3;7824,3;7824,3;7824,3;;
2023-01-12 19:22:54;7824,3;7824,3;7824,3;7824,3;;
2023-01-12 19:22:55;7824,3;7824,3;7824,3;7824,3;;
2023-01-12 19:22:56;7824,3;7824,3;7824,3;7824,3;;
2023-01-12 19:22:57;7824,3;7824,3;7824,3;7824,3;;
2023-01-12 19:23:01;7824,3;7824,3;7824,3;7824,3;;
2023-01-12 19:23:02;7824,3;7824,3;7824,3;7824,3;;
2023-01-12 19:23:04;7824,3;7824,3;7824,3;7824,3;;
2023-01-12 19:23:07;7824,3;7824,3;7824,3;7824,3;;
2023-01-12 19:23:09;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:23:12;7824,8;7824,8;7824,8;7824,8;;
2023-01-12 19:23:14;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:23:24;7824,8;7824,8;7824,8;7824,8;;
2023-01-12 19:23:25;7824,8;7825,3;7824,8;7825,3;;
2023-01-12 19:23:26;7824,8;7825,3;7824,8;7825,3;;
2023-01-12 19:23:28;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:23:29;7824,8;7825,3;7824,8;7825,3;;
2023-01-12 19:23:31;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:23:39;7824,8;7824,8;7824,8;7824,8;;
2023-01-12 19:23:41;7824,3;7824,3;7824,3;7824,3;;
